organization;key;uuid;name;long_name;path
brave;brave_brave-core:browser/resources/settings/brave_search_engines_page/brave_search_engines_page_browser_proxy.js;AYFrhpGOTTJWA7I8XY2r;brave_search_engines_page_browser_proxy.js;browser/resources/settings/brave_search_engines_page/brave_search_engines_page_browser_proxy.js;browser/resources/settings/brave_search_engines_page/brave_search_engines_page_browser_proxy.js
brave;brave_brave-core:browser/resources/settings/default_brave_shields_page/brave_adblock_browser_proxy.js;AYEhT4TGCGypHPW1DPB8;brave_adblock_browser_proxy.js;browser/resources/settings/default_brave_shields_page/brave_adblock_browser_proxy.js;browser/resources/settings/default_brave_shields_page/brave_adblock_browser_proxy.js
brave;brave_brave-core:browser/resources/settings/brave_default_extensions_page/brave_default_extensions_browser_proxy.js;AXCqlRllsJcONJe09tUw;brave_default_extensions_browser_proxy.js;browser/resources/settings/brave_default_extensions_page/brave_default_extensions_browser_proxy.js;browser/resources/settings/brave_default_extensions_page/brave_default_extensions_browser_proxy.js
brave;brave_brave-core:browser/resources/settings/default_brave_shields_page/brave_adblock_subpage.html;AYEhT4TGCGypHPW1DPB7;brave_adblock_subpage.html;browser/resources/settings/default_brave_shields_page/brave_adblock_subpage.html;browser/resources/settings/default_brave_shields_page/brave_adblock_subpage.html
brave;brave_brave-core:browser/resources/settings/brave_default_extensions_page/brave_default_extensions_page.js;AXCqlRllsJcONJe09tUv;brave_default_extensions_page.js;browser/resources/settings/brave_default_extensions_page/brave_default_extensions_page.js;browser/resources/settings/brave_default_extensions_page/brave_default_extensions_page.js
brave;brave_brave-core:components/brave_wallet_ui/components/desktop/top-tab-nav/index.tsx;AXiVpsGw6wb1bnzJaYlB;index.tsx;components/brave_wallet_ui/components/desktop/top-tab-nav/index.tsx;components/brave_wallet_ui/components/desktop/top-tab-nav/index.tsx
brave;brave_brave-core:components/brave_wallet_ui/components/desktop/popup-modals/add-account-modal/add-imported-account-modal.tsx;AYDjrBB3rLWdPHJuUEdF;add-imported-account-modal.tsx;components/brave_wallet_ui/components/desktop/popup-modals/add-account-modal/add-imported-account-modal.tsx;components/brave_wallet_ui/components/desktop/popup-modals/add-account-modal/add-imported-account-modal.tsx
brave;brave_brave-core:components/brave_wallet/resources/ethereum_provider.js;AX_cHG4BcddDCukqJjB-;ethereum_provider.js;components/brave_wallet/resources/ethereum_provider.js;components/brave_wallet/resources/ethereum_provider.js
brave;brave_brave-core:script/uplift.py;AXCqlRllsJcONJe09tV1;uplift.py;script/uplift.py;script/uplift.py
brave;brave_brave-core:components/brave_wallet_ui/components/extension/transactions-panel/transactions-panel.stories.tsx;AYPxk-2hSMYayuQr4VrM;transactions-panel.stories.tsx;components/brave_wallet_ui/components/extension/transactions-panel/transactions-panel.stories.tsx;components/brave_wallet_ui/components/extension/transactions-panel/transactions-panel.stories.tsx
brave;brave_brave-core:components/web-components/button/button.module.scss;AX845AKZdUHpwG2Va0q8;button.module.scss;components/web-components/button/button.module.scss;components/web-components/button/button.module.scss
brave;brave_brave-core:browser/resources/settings/brave_tor_page/brave_tor_browser_proxy.js;AYJj9qJjvQZIYxYY1Jdu;brave_tor_browser_proxy.js;browser/resources/settings/brave_tor_page/brave_tor_browser_proxy.js;browser/resources/settings/brave_tor_page/brave_tor_browser_proxy.js
brave;brave_brave-core:components/brave_wallet_ui/common/async/__mocks__/lib.ts;AX--c4IE0hZ2apZZmBSf;lib.ts;components/brave_wallet_ui/common/async/__mocks__/lib.ts;components/brave_wallet_ui/common/async/__mocks__/lib.ts
