key;rule;severity;component;project;hash;status;effort;debt;creation_date;update_date;close_date;type;resolution;assignee
AXCqlSwWsJcONJe09tdN;python:S1481;MINOR;brave_brave-core:script/sign_upload_linux_pkgs.py;brave_brave-core;2797a2de725b7f456c763094255bb415;OPEN;5min;5min;2019-01-09T22:49:07+0100;2020-03-05T13:01:18+0100;;CODE_SMELL;;
AXCqlSwWsJcONJe09tdD;python:S1192;CRITICAL;brave_brave-core:script/sign_upload_linux_pkgs.py;brave_brave-core;234e0315beb2121f5818904fa4043c53;OPEN;6min;6min;2019-01-09T22:49:07+0100;2020-03-05T13:01:18+0100;;CODE_SMELL;;
AXCqlSwWsJcONJe09tdT;python:S1481;MINOR;brave_brave-core:script/sign_upload_linux_pkgs.py;brave_brave-core;69ed88282491dda0a2e3c92267ded654;OPEN;5min;5min;2019-01-09T22:49:07+0100;2020-03-05T13:01:18+0100;;CODE_SMELL;;
AXelesMkbtYYmN5cwm1x;javascript:S1186;CRITICAL;brave_brave-core:browser/resources/settings/brave_default_extensions_page/brave_default_extensions_browser_proxy.js;brave_brave-core;08786038a7fa34507147542a53e23cc8;CLOSED;5min;5min;2019-01-05T23:47:30+0100;2022-10-14T01:47:31+0200;2022-10-14T01:47:31+0200;CODE_SMELL;FIXED;bbondy@github
AXelesMkbtYYmN5cwm1w;javascript:S1186;CRITICAL;brave_brave-core:browser/resources/settings/brave_default_extensions_page/brave_default_extensions_browser_proxy.js;brave_brave-core;481493695e4dd2a7f9d0bf1f1d32dc6d;CLOSED;5min;5min;2019-01-04T21:05:25+0100;2022-10-14T01:47:31+0200;2022-10-14T01:47:31+0200;CODE_SMELL;FIXED;yrliou@github
AXObQZfsH4vouwHhhPhJ;javascript:S1788;MAJOR;brave_brave-core:build/commands/lib/start.js;brave_brave-core;c088e7eeb1cafc5d5fe48f7a4f1a25f6;OPEN;20min;20min;2018-12-14T00:13:41+0100;2021-05-03T14:01:56+0200;;CODE_SMELL;;
AYI6Z_WTtWDV3wxS6IwV;typescript:S6441;MAJOR;brave_brave-core:components/brave_rewards/resources/page/components/tipsBox.tsx;brave_brave-core;d867bd766b4d3adf9663cdef92049ed0;OPEN;5min;5min;2018-12-03T20:10:26+0100;2022-07-26T14:03:11+0200;;CODE_SMELL;;
AXCqlSopsJcONJe09tbO;css:S4667;MAJOR;brave_brave-core:browser/resources/settings/brave_sync_page/brave_sync_page.html;brave_brave-core;1ef0bca0c8fe511a919ad12472e6c67f;OPEN;1min;1min;2018-11-20T19:55:31+0100;2020-03-05T13:01:18+0100;;CODE_SMELL;;
AXDJeoWAHxoWp820-wPU;python:S112;MAJOR;brave_brave-core:script/transpile-web-ui.py;brave_brave-core;f45a3b2053ef630a239be51734728433;OPEN;20min;20min;2018-11-20T00:46:44+0100;2020-03-11T13:01:32+0100;;CODE_SMELL;;
AXvkMjW7FfiRNP540iz-;javascript:S6353;MINOR;brave_brave-core:components/webpack/webpack.config.js;brave_brave-core;8e26fb37b208963fd0040e8aefa0fa64;OPEN;5min;5min;2018-11-19T19:13:04+0100;2021-09-14T14:02:02+0200;;CODE_SMELL;;
AXvkMjW7FfiRNP540iz9;javascript:S6353;MINOR;brave_brave-core:components/webpack/webpack.config.js;brave_brave-core;8e26fb37b208963fd0040e8aefa0fa64;OPEN;5min;5min;2018-11-19T19:13:04+0100;2021-09-14T14:02:02+0200;;CODE_SMELL;;
AXvkMjW7FfiRNP540iz_;javascript:S6353;MINOR;brave_brave-core:components/webpack/webpack.config.js;brave_brave-core;8e26fb37b208963fd0040e8aefa0fa64;OPEN;5min;5min;2018-11-19T19:13:04+0100;2021-09-14T14:02:02+0200;;CODE_SMELL;;
AXelesC-btYYmN5cwm1T;javascript:S4326;MINOR;brave_brave-core:components/webpack/gen-webpack-grd.js;brave_brave-core;ebd209adb776ecb51d738917d97d0057;CLOSED;1min;1min;2018-11-19T19:12:54+0100;2022-10-13T20:04:56+0200;2022-10-13T20:04:56+0200;CODE_SMELL;REMOVED;
AXJWIdzsw1GFd-OGLlxI;python:S2208;CRITICAL;brave_brave-core:script/test/test_helpers.py;brave_brave-core;9b42dcb1f336b8b9487a1f95fafb6ae4;OPEN;5min;5min;2018-11-13T19:05:29+0100;2020-05-27T14:31:29+0200;;CODE_SMELL;;bbondy@github
AYCMmqyDjqOfzcBvTfB3;javascript:S1481;MINOR;brave_brave-core:build/commands/lib/config.js;brave_brave-core;31980d0516428ad7cdc974a04fadf18f;OPEN;5min;5min;2018-10-25T08:32:20+0200;2022-05-03T19:32:11+0200;;CODE_SMELL;;
AYCMmqyDjqOfzcBvTfB4;javascript:S1854;MAJOR;brave_brave-core:build/commands/lib/config.js;brave_brave-core;31980d0516428ad7cdc974a04fadf18f;OPEN;15min;15min;2018-10-25T08:32:20+0200;2022-05-03T19:32:11+0200;;CODE_SMELL;;
AXCqlSMmsJcONJe09tao;Web:S5254;MAJOR;brave_brave-core:components/brave_rewards/resources/extension/brave_rewards/brave_rewards_panel.html;brave_brave-core;166248a6129a1e4370d20adc2d4c23f3;CLOSED;2min;2min;2018-10-01T16:33:16+0200;2022-10-19T23:14:38+0200;2022-10-19T23:14:38+0200;BUG;FIXED;
AXelesL6btYYmN5cwm1g;javascript:S1186;CRITICAL;brave_brave-core:browser/resources/settings/default_brave_shields_page/default_brave_shields_browser_proxy.js;brave_brave-core;3d0cd98ef5195363391631247578c57c;CLOSED;5min;5min;2018-09-26T19:51:19+0200;2022-10-14T01:47:31+0200;2022-10-14T01:47:31+0200;CODE_SMELL;FIXED;bbondy@github
AXelesL6btYYmN5cwm1j;javascript:S1186;CRITICAL;brave_brave-core:browser/resources/settings/default_brave_shields_page/default_brave_shields_browser_proxy.js;brave_brave-core;105ab120594e4f96c45e90cdbbac7502;CLOSED;5min;5min;2018-09-26T19:51:19+0200;2022-10-14T01:47:31+0200;2022-10-14T01:47:31+0200;CODE_SMELL;FIXED;bbondy@github
AXelesL6btYYmN5cwm1k;javascript:S1186;CRITICAL;brave_brave-core:browser/resources/settings/default_brave_shields_page/default_brave_shields_browser_proxy.js;brave_brave-core;a89fecf98d25c4bd0bf7c5bac7c88ea7;CLOSED;5min;5min;2018-09-26T19:51:19+0200;2022-10-14T01:47:31+0200;2022-10-14T01:47:31+0200;CODE_SMELL;FIXED;bbondy@github
AXelesL6btYYmN5cwm1l;javascript:S1186;CRITICAL;brave_brave-core:browser/resources/settings/default_brave_shields_page/default_brave_shields_browser_proxy.js;brave_brave-core;363f84ea706cdfbc362d914f8f8b7708;CLOSED;5min;5min;2018-09-26T19:51:19+0200;2022-10-14T01:47:31+0200;2022-10-14T01:47:31+0200;CODE_SMELL;FIXED;bbondy@github
AXelesL6btYYmN5cwm1m;javascript:S1186;CRITICAL;brave_brave-core:browser/resources/settings/default_brave_shields_page/default_brave_shields_browser_proxy.js;brave_brave-core;58333bf4d2935a1e69876de4c90de6d7;CLOSED;5min;5min;2018-09-26T19:51:19+0200;2022-10-14T01:47:31+0200;2022-10-14T01:47:31+0200;CODE_SMELL;FIXED;bbondy@github
